Marca;Dimensiones;Nombre;Fecha revisión;Recomendado;Puntuación;Texto
Jim Beam Black;;Jim Beam Black Bourbon Whiskey, 1.0 L;2017-05-19T00:00:00.000Z;sí;5;I have been enjoying JB Black for the past three years. The has all the flavor os a higher proof, bur 86, I can have another without collapsing. Now it has disappeared from even the most extensive liquor stores in my area. What happened The double oaked is OK, but no match for the black. Where can I find it in Sonoma County, California
Jim Beam Black;;Jim Beam Black Bourbon Whiskey, 1.0 L;2017-05-22T00:00:00.000Z;sí;5;I bought this in early December and it didn't make it to the new year... This one is Awesome, keep up the great work!
Jim Beam Black;;Jim Beam Black Bourbon Whiskey, 1.0 L;2017-05-05T00:00:00.000Z;sí;5;Absolutely love, love, love it!!
Gerrit Verburg;;Gerrit Verburg Wine Gums, (6.6 Pounds);2014-08-23T05:00:00Z;;;We have ordered these several times. But this will be the LAST time. The NEW RECIPE sucks they have very little to no flavor.
Gerrit Verburg;;Gerrit Verburg Wine Gums, (6.6 Pounds);2014-05-18T05:00:00Z;;;Been hearing about this but never tried until I saw this in amazon and have a taste of it. Taste is subtle not as sweet.. If you like gummie candy this is worth a try. I will purchase these again
Gerrit Verburg;;Gerrit Verburg Wine Gums, (6.6 Pounds);2014-07-11T05:00:00Z;;;Yummy
Gerrit Verburg;;Gerrit Verburg Wine Gums, (6.6 Pounds);2014-05-08T05:00:00Z;;;first time i ordered these and they are simply put...absolutly fantastic.. if you want a gummy with tang these are those. i have already ordered again as Pooi write this .the flavor is just yummy.
Gerrit Verburg;;Gerrit Verburg Wine Gums, (6.6 Pounds);2013-11-18T06:00:00Z;;;These are awesome. Better texture than gummies.Taste is subtle not as sweet.. If you like gummie candy this is worth a try.
Gerrit Verburg;;Gerrit Verburg Wine Gums, (6.6 Pounds);2014-06-12T05:00:00Z;;;I've eaten far too many already...these taste fruity, several fruit flavors, as good or better than any wine gums I had before. Highly recommend
Gerrit Verburg;;Gerrit Verburg Wine Gums, (6.6 Pounds);2014-07-11T05:00:00Z;;;Yummy!
Gerrit Verburg;;Gerrit Verburg Wine Gums, (6.6 Pounds);2014-05-18T05:00:00Z;;;Been hearing about this but never tried until I saw this in amazon and have a taste of it. Taste is subtle not as sweet.. If you like gummie candy this is worth a try. I will purchase these again!
Gerrit Verburg;;Gerrit Verburg Wine Gums, (6.6 Pounds);;;;These traditional winegums are soft, gummy drops that are similar to but chewier than jujubes. Each piece is imprinted with the name of a type of alcohol such as Port, Rum, Gin, Cider, and Cognac. However, the candies are entirely non-alcoholic, and the flavors are actually lemon, apple, orange, raspberry, and black currant. The overall taste is pleasantly tart.
Gerrit Verburg;;Gerrit Verburg Wine Gums, (6.6 Pounds);2014-03-28T05:00:00Z;;;As far as gummy candy, these are fine. They have a good fruity flavor and good texture. As far as tasting like traditional 'wine gums', not so much.
Gerrit Verburg;;Gerrit Verburg Wine Gums, (6.6 Pounds);;;;I, too, was disappointed. I have been a consistent purchaser (by subscription, every 4 months) and these last order that came 2 weeks ago was different than all purchased previously - less sweet (they had been perfect) and harder texture which produced an overall less pleasing experience. Have no idea why they would change a formula that was close to perfect
Gerrit Verburg;;Gerrit Verburg Wine Gums, (6.6 Pounds);2014-12-16T06:00:00Z;;;I have ordered Gustav's wine gums many times from amazon and always been delighted with the product. Well imagine my surprise when I recently opened my latest order to discover a new formula product that bears no resemblance to the old. The wine gums are smaller, harder, much paler in color, and all colors have this same wretchedly super-sweet after-taste that just keeps on giving me something that I definitely do not want.Why has Gustav begun shipping a different product with no advance notice to its loyal customers Well this is one former customer who is definitely no longer loyal! I'm stuck with 6.6kg. of these things and I'm seriously tempted to throw them in the garbage.Smarten up, Gustav's! Refund my money for this inferior garbage, or ship me what I ordered - the original product. I don't want this crap. And I'm betting nobody else does either.
Canada Dry;3.5 in x 3.5 in x 10.5 in;Canada Dry Ginger Ale - 1 L Bottle;2017-08-14T18:37:33.000Z;no;1;They don't state on the label how much ginger is in their ginger ale. I am to deduce that there isn't any, since they won't list it on the ingredients label.
Canada Dry;3.5 in x 3.5 in x 10.5 in;Canada Dry Ginger Ale - 1 L Bottle;2017-07-20T17:25:12.000Z;sí;5;I bought the 7 oz cans to keep in refrigerator for nausea. It workes miracles and what a perfect size.
Canada Dry;3.5 in x 3.5 in x 10.5 in;Canada Dry Ginger Ale - 1 L Bottle;2017-04-17T15:51:23.000Z;no;2;Love Canada Dry until about a month ago..every carton I've purchased has been flat..no fizz..and just bad tasting..I've used Canada Dry for years so certainly know good from bad. Has there been a change cause they surely don't taste good.
Canada Dry;3.5 in x 3.5 in x 10.5 in;Canada Dry Ginger Ale - 1 L Bottle;;TRUE;;I love your product! I don't drink pop (soda) but I drink your ginger ale for tummy upsets. I tried the cranberry one last night and loved the flavor!
Canada Dry;3.5 in x 3.5 in x 10.5 in;Canada Dry Ginger Ale - 1 L Bottle;;TRUE;;Refreshing, great taste, no artificial sweeteners.
Canada Dry;3.5 in x 3.5 in x 10.5 in;Canada Dry Ginger Ale - 1 L Bottle;;TRUE;;We've enjoyed your products over the years. Having experienced some minor problems with an upset stomach recently, I was happy to have some on hand. For me, it's the perfect pick me up for those times you're feeling a little under
Canada Dry;3.5 in x 3.5 in x 10.5 in;Canada Dry Ginger Ale - 1 L Bottle;;TRUE;;I have had Stage 4 Kidney Cancer for over 8 years and just discovered the delights of your bevarage last year and how it can stop nausea instantly!! It is also a refreshing change in summer from a cola!
Canada Dry;3.5 in x 3.5 in x 10.5 in;Canada Dry Ginger Ale - 1 L Bottle;;TRUE;;Always the best by far, great taste. I have loved it since I was a kid
Canada Dry;3.5 in x 3.5 in x 10.5 in;Canada Dry Ginger Ale - 1 L Bottle;;TRUE;;Alone or with vokda. Also, a lot of people aren't aware it settles upset tummies because of the ginger quicker than the old standard cola and crackers!!!! I've turned several people onto Canada Dry for both reasons!!
Canada Dry;3.5 in x 3.5 in x 10.5 in;Canada Dry Ginger Ale - 1 L Bottle;;TRUE;;Been making ice cream sodas for my family for 50 years!
Canada Dry;3.5 in x 3.5 in x 10.5 in;Canada Dry Ginger Ale - 1 L Bottle;;TRUE;;Not too sweet like some other drinks. Just refreshing!!!
Canada Dry;3.5 in x 3.5 in x 10.5 in;Canada Dry Ginger Ale - 1 L Bottle;;TRUE;;I absolutely love Canada Dry Ginger Ale..this is the only Ginger Ale that I will drink and have drank for the past 25 years..I have BAD acid reflux and have been hospitalized several times with this and them thinking I was having a heart attack..well every time they say its acid reflux..the last time I was in the hospital I asked for Ginger Ale and they said -you can't have anything with caffine and I said Canada Dry Ginger Ale has NO caffine..they said oh-we thought all soda had caffine...and I said Canada Dry is not just any soda-its Canada Dry! I got my Ginger Ale! It is the only drink we have in our house!
Canada Dry;3.5 in x 3.5 in x 10.5 in;Canada Dry Ginger Ale - 1 L Bottle;;TRUE;;It's my favorite soda! It is great for preventing sea sickness too. I'm a scuba diver and it's the only thing I will drink on a dive boat. I prefer the plastic bottles and they are hard to find.
Canada Dry;3.5 in x 3.5 in x 10.5 in;Canada Dry Ginger Ale - 1 L Bottle;;TRUE;;Speed up my epiglotttis to rush my food to my esophagus where they fall in love in my stomach and make happy and relaxed.
Canada Dry;3.5 in x 3.5 in x 10.5 in;Canada Dry Ginger Ale - 1 L Bottle;;TRUE;;I. Have a condition that causes daily nausea Nothing calms it better than a few sips of ice cold CD Ginger Ale. Perform S better than all other brands and the 2 prescription medications I havePTL even got a local store Harvey's Supermarket ,,(Manager Irvin and Robin the Vendor. )on Edgewood Ave to order 3 cases a month of the 8 oxen Ounce bottles. Best store manager in town. Kudos to him Both of themPS...I was married on January 1, 1974 the age of 16. Our toast was Ginger Ale, although we are divorced now I along with my children and grandchildren still toast the new year xwith gingeale
Canada Dry;3.5 in x 3.5 in x 10.5 in;Canada Dry Ginger Ale - 1 L Bottle;;TRUE;;I love this. I made green punch last year for my niece's wedding reception with Lime Kool-Aid, pineapple juice and Canada Dry Ginger Ale. I've been drinking CD Ginger Ale ever since.
Canada Dry;3.5 in x 3.5 in x 10.5 in;Canada Dry Ginger Ale - 1 L Bottle;;TRUE;;I buy it in 2 liter , cases or single can or bottles. When I open a single can I drink it so fast while eating my lunch or dinner. I purchased 4 cases for Christmas dinner an they were gone before the Coke and Pepsi drinks.We love it!!!!
Canada Dry;3.5 in x 3.5 in x 10.5 in;Canada Dry Ginger Ale - 1 L Bottle;;TRUE;;A year ago, as I was experiencing stomach problems, a friend suggested drinking Ginger Ale for the real ginger in it and its medicinal properties. I started doing so and although I no longer experience the stomach problems, Canada Dry Ginger Ale has become my go to beverage. I find myself being disappointed when I'm in a food establishment that doesn't serve it.
Canada Dry;3.5 in x 3.5 in x 10.5 in;Canada Dry Ginger Ale - 1 L Bottle;;TRUE;;I am always sick after i have surgery . Was told to drink alot of ginger ale before i had it done and it really helped alot.love it
Canada Dry;3.5 in x 3.5 in x 10.5 in;Canada Dry Ginger Ale - 1 L Bottle;;TRUE;;I was raised on Canada Dry Ginger Ale. I didn't know anything about Coke/Pepsi in the 1950's. Still love the flavor!
Canada Dry;3.5 in x 3.5 in x 10.5 in;Canada Dry Ginger Ale - 1 L Bottle;;TRUE;;This is the only soda I drink ! I love it because it is refreshing and helps my stomach !
Canada Dry;3.5 in x 3.5 in x 10.5 in;Canada Dry Ginger Ale - 1 L Bottle;;TRUE;;Have been a long time purchaser,preferred brand over all others.
Canada Dry;3.5 in x 3.5 in x 10.5 in;Canada Dry Ginger Ale - 1 L Bottle;;TRUE;;I have always used Canada Dry when I have an upset
Mr. Brown;2.50 in x 2.50 in x 3.60 in;Mr. Brown Iced Coffee 8.12 fl. oz.;2017-04-08T00:00:00.000Z;sí;5;Good coffee (medium roast) - with natural ingredients. Ingredients: water-coffee extract-sugar-milk powder-soy lecithin (emulsifier)
Cole's;4.94 in x 7.0 in x 3.25 in;Cole's Cheese Sticks With Mozzarella 11.5 Oz;;;;These are so yummy! They are great with pasta! I also like them with soup kinda like a grilled cheese but less mess and work. I would recommend under cooking just slightly so they are soft and cheesy
Cole's;4.94 in x 7.0 in x 3.25 in;Cole's Cheese Sticks With Mozzarella 11.5 Oz;;;;Brushed with Olive Oil lightly, good as Pizziaria stores
Cole's;4.94 in x 7.0 in x 3.25 in;Cole's Cheese Sticks With Mozzarella 11.5 Oz;;;;Give thm actry you won't be disappointed
Cole's;4.94 in x 7.0 in x 3.25 in;Cole's Cheese Sticks With Mozzarella 11.5 Oz;;;;My family loved these cheesy bread sticks however kind of disappointed there weren't many in the box, I have a family of five and everyone was wanting more of these will have to buy an extra box next time
Cole's;4.94 in x 7.0 in x 3.25 in;Cole's Cheese Sticks With Mozzarella 11.5 Oz;;;;The stick is soft and not too garlicky, the cheese is a good flavored mozzarella they are over all fantastic!
Cole's;4.94 in x 7.0 in x 3.25 in;Cole's Cheese Sticks With Mozzarella 11.5 Oz;;;;The bread sticks are awsome but there is only 5 in the package. I wouldn't buy it again only because there isn't enough for the cost
Cole's;4.94 in x 7.0 in x 3.25 in;Cole's Cheese Sticks With Mozzarella 11.5 Oz;;;;These are delicious and extremely easy to prepare - just pop them in the oven! The only complaint I have is that there are only five in the box. I wish I could get a box of ten, because we eat these a couple of times a week and the boxes take up lots of room in the freezer. Otherwise, these are delicious!
MODERN COCKTAIL;;Modern Cocktail Modern Martinis, 11.8 Oz ();2015-07-08T00:00:00Z;;;Great and convenient
MODERN COCKTAIL;;Modern Cocktail Modern Martinis, 11.8 Oz ();;;;Great item. I used mine in a gift basket. Just added to some glasses and a martini shaker. Great gift!
MODERN COCKTAIL;;Modern Cocktail Modern Martinis, 11.8 Oz ();2015-01-13T00:00:00Z;;;Cool idea for a party.
MODERN COCKTAIL;;Modern Cocktail Modern Martinis, 11.8 Oz ();2014-07-21T00:00:00Z;;;Love it and the seller are the most wonderful understanding people .When the order was a little messed up they wasted no time in getting all correct items to me.Thank You very much for all that you have done and also the drinks were great. LOLLAPALOOZA
MODERN COCKTAIL;;Modern Cocktail Modern Martinis, 11.8 Oz ();2015-03-10T00:00:00Z;;;Arrived damaged with the middle bottle leaking
Rose's;;Rose's Cocktail Infusions Sour Apple Mix, 20 fl oz;2015-09-16T00:00:00.000Z;sí;5;This is the best mix to use for appletinis, taste great! I have tried others but nothing compares to Rose. Everyone always comments on the cool bottle. It is on the sweet side but that is why I like it. Try it!
Rose's;;Rose's Cocktail Infusions Sour Apple Mix, 20 fl oz;2015-12-02T00:00:00.000Z;sí;5;Was looking everywhere for this product, and was starting to think that I would be out of luck. Tried walmart.com as a last resort. Glad I did! Thank you Wal-mart.
Rose's;;Rose's Cocktail Infusions Sour Apple Mix, 20 fl oz;2015-12-28T00:00:00.000Z;sí;5;Taste just like I thought it would - would buy again
Rose's;;Rose's Cocktail Infusions Sour Apple Mix, 20 fl oz;2015-09-16T00:00:00.000Z;sí;5;Tasty
Goya Food;;Goya Ginger Beer Soda, 12 fl oz;2016-05-21T00:00:00.000Z;sí;5;This is great for Moscow miles. It is very gingery and tastes much better than its higher priced competitor
Bar-S;;Bar-S Bun Length Franks Family Pack, 48 oz;2015-09-20T00:00:00.000Z;sí;5;these franks are by far the best tasting franks we have had in a long time. love grilling them and having them just like at the ball park
Bar-S;;Bar-S Bun Length Franks Family Pack, 48 oz;2015-10-11T00:00:00.000Z;sí;5;Good size and taste for a get together foot ball game easy to preper saves you time and money great cuantity too.
Bar-S;;Bar-S Bun Length Franks Family Pack, 48 oz;2015-09-17T00:00:00.000Z;sí;4;Good brand. Has a good flavor and a cheaper price. Been buying this brand for years. Never had a complaint.
Bar-S;;Bar-S Bun Length Franks Family Pack, 48 oz;2015-09-25T00:00:00.000Z;sí;5;Weiner's are very good, reasonable price
Bar-S;;Bar-S Bun Length Franks Family Pack, 48 oz;2015-09-22T00:00:00.000Z;sí;5;I purchase these and separate and freeze them. I have.3 boys so they are always handy.
Bar-S;;Bar-S Bun Length Franks Family Pack, 48 oz;2015-09-16T00:00:00.000Z;sí;5;Great for grilling and a great value
Bar-S;;Bar-S Bun Length Franks Family Pack, 48 oz;;;;Good size and taste for a get together foot ball game easy to preper saves you time and money great cuantity too.
Bar-S;;Bar-S Bun Length Franks Family Pack, 48 oz;;;;I purchase these and separate and freeze them. I have.3 boys so they are always handy.
Bar-S;;Bar-S Bun Length Franks Family Pack, 48 oz;;;;Good brand. Has a good flavor and a cheaper price. Been buying this brand for years. Never had a complaint.
Bar-S;;Bar-S Bun Length Franks Family Pack, 48 oz;;;;Great for grilling and a great value
Bar-S;;Bar-S Bun Length Franks Family Pack, 48 oz;;;;Weiner's are very good, reasonable price
Bar-S;;Bar-S Bun Length Franks Family Pack, 48 oz;;;;these franks are by far the best tasting franks we have had in a long time. love grilling them and having them just like at the ball park
LIBERTY CREEK;;Liberty Creek Pink Moscato Wine, 1.5 L;2017-02-11T00:00:00.000Z;sí;4;This is a light, slightly bubbly tasting wine, not too sweet, not too bitter and dry.
Brand Castle;;Gosling's Diet Ginger Beer, 12 fl oz;2014-09-18T05:00:00Z;;;Delivered on time, as expected. Love, love, love Gosling's Diet Ginger Beer. So happy to get it in the states, although a trip to Bermuda is pretty awesome.
Brand Castle;;Gosling's Diet Ginger Beer, 12 fl oz;2014-09-06T05:00:00Z;;;Just returned from Bermuda with some Stormy Ginger Beer. Have to watch sugar intake so back at home I bought diet Stormy and did a side by side comparison. Confirmed the reviews that indicated that diet Stormy has noticeably less ginger flavor. I found a local source for Barritts diet ginger beer (made in Bermuda and preceded Gosling's ginger beer) and did a side by side comparison against diet Stormy. The diet Barritts had noticeably more ginger flavor.
Brand Castle;;Gosling's Diet Ginger Beer, 12 fl oz;2014-07-19T05:00:00Z;;;Tastes great, hardly like diet. Great and intense ginger taste but expensive on this site I get it in the liquor store for about a buck a can.
Brand Castle;;Gosling's Diet Ginger Beer, 12 fl oz;2014-08-15T05:00:00Z;;;I received a case of Goslings diet ginger beer today. I had such high hopes for this product because this would be this first reasonably priced diet ginger beer that I could ship to my home that I have actually heard of (I had previously bought a case of Royalty diet ginger beer at Amazon, but I had never heard of the brand before buying it). I knew Goslings has a good reputation among Ginger Beers, so I had an expectation that I might have found a better diet ginger beer. Sadly, I was mistakenI tried this product in three blind taste tests with Royalty diet ginger beer as my alternative. In each of the three tests, I had a strong preference for Royalty. I found Goslings diet ginger beer to be overly sweet and syrupy, lacking in strong ginger flavor, and completely devoid of that spicy ginger bite that true ginger beer fans expect. Goslings diet ginger beer also has an unpleasant aftertaste that serves as a fitting exclamation point to this products mediocrity.I have had worse ginger beers. Saranac and Reeds come to mind. That said, Goslings diet ginger beer is simply an inferior product. When the price of this soda is similar to the diet ginger beers from Royalty or Barritts (for those who are lucky enough to have access to it), there is simply no reason to purchase Goslings diet ginger beer.Please note: I have used this product as a diet ginger beer, which I consumed plain or over ice. Although I highly doubt it, Goslings diet ginger beer may be the superior product for use in Dark n Stormy or Moscow Mule cocktails.
Brand Castle;;Gosling's Diet Ginger Beer, 12 fl oz;2014-09-14T05:00:00Z;;;I love ginger beer. This one is among the drier varieties, so it is light, crisp and refreshing. I would recommend this one for mixing lower calorie drinks. Great ginger flavor. I would buy this again.
Brand Castle;;Gosling's Diet Ginger Beer, 12 fl oz;2014-07-15T05:00:00Z;;;I bought this from a local store to make Moscow Mules, and I know Gosling's is more about the Dark and Stormy, but I have to say I was very disappointed in this product. It didn't have as strong of ginger bite as I was looking for, but I guess that's what I get for going diet. I will stick to Royals from now on.
Brand Castle;;Gosling's Diet Ginger Beer, 12 fl oz;2014-09-23T05:00:00Z;;;Ginger Beer is hard to find where I live and to mention diet, it's impossible! I love the taste of this brand and will continue to puchase.
Oak Leaf;;Oak Leaf Pinot Grigio Wine, 3 L;2016-12-30T00:00:00.000Z;sí;5;Are you not selling Oak Leaf wine in a box anymore We have been to 2 different Wal Marts without finding any. This in a box is great. Please do not stop carrying it.
HORNITOS;;Sauza Hornitos Reposado Tequila, 1.75 L;2017-02-19T00:00:00.000Z;sí;5;Perfect sipping tequila ... chilled and neat !
HORNITOS;;Sauza Hornitos Reposado Tequila, 1.75 L;2017-01-07T00:00:00.000Z;sí;5;My buddy ordered some shots of this stuff during a horns game. Frankly when it comes to tequila, I usually brace myself for a rough shot. Maybe I'm drinking the wrong stuff, because this was really easy to put back. No lingering aftertaste. Reasonably priced. Good value tequila if you're looking.
HORNITOS;;Sauza Hornitos Reposado Tequila, 1.75 L;2017-01-28T00:00:00.000Z;sí;5;Straight over ice.
Jim Beam;;Jim Beam Bourbon Kentucky Straight Bourbon Whiskey, 200 mL;2017-08-24T00:00:00.000Z;sí;5;The white label or the devil's cut dashed with some lemonade and lime cordial is how I enjoy my Jim.
Jim Beam;;Jim Beam Bourbon Kentucky Straight Bourbon Whiskey, 200 mL;2017-08-06T00:00:00.000Z;sí;5;Best Drink you can get
Jim Beam;;Jim Beam Bourbon Kentucky Straight Bourbon Whiskey, 200 mL;2017-08-05T00:00:00.000Z;sí;4;to make manhattens
Jim Beam;;Jim Beam Bourbon Kentucky Straight Bourbon Whiskey, 200 mL;2017-06-13T00:00:00.000Z;sí;5;Best bourbon I have found...have toured distillery and love the brand..
Jim Beam;;Jim Beam Bourbon Kentucky Straight Bourbon Whiskey, 200 mL;2017-06-10T00:00:00.000Z;sí;5;Red Stag and Coke Zero is my go to drink. Only wish more bars and restaurants stocked it. Nothing like a good bourbon with a cherry kick !
Jim Beam;;Jim Beam Bourbon Kentucky Straight Bourbon Whiskey, 200 mL;2017-06-03T00:00:00.000Z;sí;5;I like it with dr.peper to sip and relax
Jim Beam;;Jim Beam Bourbon Kentucky Straight Bourbon Whiskey, 200 mL;2017-06-03T00:00:00.000Z;sí;5;Better than the other's
Jim Beam;;Jim Beam Bourbon Kentucky Straight Bourbon Whiskey, 200 mL;2017-05-28T00:00:00.000Z;sí;5;Drank it for years and always smooth and tasty. Now it is running off the shelves at our liquor store.
Jim Beam;;Jim Beam Bourbon Kentucky Straight Bourbon Whiskey, 200 mL;2017-05-21T00:00:00.000Z;sí;5;I keep Jim Beam on hand every day of the week.
Jim Beam;;Jim Beam Bourbon Kentucky Straight Bourbon Whiskey, 200 mL;2017-05-04T00:00:00.000Z;sí;5;I typically have this neat or with an ice cube. Its light amber appearance, sweet, woody, mossy nose, and its mild moss, white oak, mellow wintergreen mint, and dried, faintly-candied fruit flavor draws the drinker into an exploration of pin-point distilling execution. Jim Beam Original has a gradual finish, with a ghost of chocolate powder, during the fade out. Highly recommended. RJT
Jim Beam;;Jim Beam Bourbon Kentucky Straight Bourbon Whiskey, 200 mL;2017-05-17T00:00:00.000Z;sí;5;It's does have a great toaste to it the only drink I'll drink.
Jim Beam;;Jim Beam Bourbon Kentucky Straight Bourbon Whiskey, 200 mL;2017-05-07T00:00:00.000Z;sí;5;I had a neat 2 finger glass two weeks ago of JB Black label for the first time (I've always drank Jack Daniels) and I loved it! No more Jack for me!
Jim Beam;;Jim Beam Bourbon Kentucky Straight Bourbon Whiskey, 200 mL;2017-05-05T00:00:00.000Z;sí;5;Best tasteing and defenetly the smoothest around I love it!
Jim Beam;;Jim Beam Bourbon Kentucky Straight Bourbon Whiskey, 200 mL;2017-05-02T00:00:00.000Z;sí;5;I always keep a bottle of Jim Bean in my liquor cabinet. Value for price is incredible and it mixes great.
Oak Leaf;;Oak Leaf Sangria Wine, 750 mL;2017-08-27T00:00:00.000Z;sí;5;If you love the taste of grapes This is your gonna love this great Wine. A KEEPER in my cabin.
STELLA ROSA;;Stella Rosa Berry Wine, 750 mL;2017-06-03T00:00:00.000Z;sí;5;I'm not a drinker and this taste delicious. I like it!!
Sauza;;Sauza Tequila Gold, 1 L;2017-07-30T00:00:00.000Z;sí;5;I use with blue agave light golden syrup an one lime over ice with gold sauza tequila perfect drink!!!
Master of Mixes;4.44 in x 4.44 in x 12.31 in;Master of Mixes Pina Colada Mix, 1.75 L;2016-07-09T00:00:00.000Z;sí;3;It's a bit sweet but blends up well.
Master of Mixes;4.44 in x 4.44 in x 12.31 in;Master of Mixes Pina Colada Mix, 1.75 L;2016-07-16T00:00:00.000Z;sí;5;My husband and his friend, who had never had a Pia Colada ,thought this was awesome! Perfect and easy to make for sitting around the pool on a very warm humid day
HomeBrewStuff;;IRISH RED ALE Extract Beer Brewing recipe Homebrew kit Malt hops _ grains;2015-03-24T00:00:00Z;;;Just ordered this beer kit excited to brew it up and try it. This is my first partial grain batch
HomeBrewStuff;;IRISH RED ALE Extract Beer Brewing recipe Homebrew kit Malt hops _ grains;2015-10-29T00:00:00Z;;;I reached out in the comments to ask another member how this turned out, but to no avail. Despite my reservations, I ordered the kit and in a few days a USPS box arrived at my house. I opened the box and found that there was no fluff, no boxed kit, there were just ingredients (partial mash) and instructions. The 6 pound pouch of DME and other pouches had handwritten on it what it was and when to use them. Admittedly I wrinkled my nose and thought what the hell is this. Brew day came and went and I had no problems with making the wort, everything went smooth. Eight days go by and I find that the FG reading on the batch is where I want it to be so I bottled 51 bottles of beer to condition.Fast forward 7 days now. I opened one to test it out. This beer turned out really good. The dark red color of the batch hails to it being a true Irish Red. The beer has a slightly malty flavor with subtle hints of caramel notes to it. It's not overly hoppy (which I detest in beers). I'd purchase this again in a heartbeat.As a note to other people who may buy this, I enjoy darker, stouter beers. This might have better results if you thin the wort out by adding an extra 1/2 gallon or so of water. My beer came out darker than what is pictured (see below), some people strive for that true red coloring, and while this turned out red, it is a bit darker than traditional Irish Red's.
ONLINE;;Biosilk Hydrating Shampoo, 12 Fl Oz;;;;Biosilk's shampoo conditioner have made a real difference to my dry hair. Worth the extra money.
ONLINE;;Biosilk Hydrating Shampoo, 12 Fl Oz;;;;i tried this item because i heard good things and i saw it at costco. i've been hooked since. it cleans my hair and doesnt leave it frizzy. i have naturally wavy, fine asian hair so friz is not an option.costco stopped selling this so now the only place i can find this at a reasonable price is on amazon.
ONLINE;;Biosilk Hydrating Shampoo, 12 Fl Oz;;;;i tried this item because i heard good things and i saw it at costco. i've been hooked since. it cleans my hair and doesnt leave it frizzy. i have naturally wavy, fine asian hair so friz is not an option.costco stopped selling this so now the only place i can find this at a reasonable price is on amazon.
ONLINE;;Biosilk Hydrating Shampoo, 12 Fl Oz;;;;was a gift for daughter in law, she loves the way it makes her hair look and feel.
Pat O'Brien's;;Pat O'Brien's Hurricane Cocktail Mix, 9 oz;;;;it soooooo good
Master of Mixes;;MASTER OF MIXES, MIX OLD FASHION, 33.8 OZ, ();2013-11-04T06:00:00Z;;;Very hard to find this at local stores. Delicious and best Old Fashioned Mix I've found. All is good not to mention having it delivered right to the front door!
Master of Mixes;;MASTER OF MIXES, MIX OLD FASHION, 33.8 OZ, ();2013-12-22T06:00:00Z;;;Great delivery and product...would recommend it to anyone interested.....When needed will order again from you.....Thank You very much.....I thought we wouldn't be able to find your mix.
Master of Mixes;;MASTER OF MIXES, MIX OLD FASHION, 33.8 OZ, ();2014-04-10T05:00:00Z;;;All I can say is YUMMY!!! So very good. I usually have to purchase Old Fashioned mix when I travel to Wisconsin. Now I have a place to purchase online with very quick delivery. This mix is better than any of the other mixes I have had in the past.
Master of Mixes;;MASTER OF MIXES, MIX OLD FASHION, 33.8 OZ, ();2013-06-18T05:00:00Z;;;mix is sour.....not the same taste as the same brand in the store.....taste like it is spoiled. I will not buy this way again
Angostura;12.75 in x 9.5 in x 10.0 in;Angostura Aromatic Bitters, 16 fl oz, ();2015-07-05T00:00:00.000Z;sí;5;Great product Pricing Fast Delivery !!!!
Angostura;12.75 in x 9.5 in x 10.0 in;Angostura Aromatic Bitters, 16 fl oz, ();2014-01-15T00:00:00.000Z;sí;5;One great product. Hard to find in the 16 ounce bottles. Makes a great Old Fashion. Note: use with Splenda--makes a very low calorie drink!!
Great Value;;Great Value Boneless Buffalo Style Chunks, 25.5 Oz;2014-05-07T00:00:00.000Z;sí;3;They barely have a hint of buffalo flavor. If you like your wings to taste of nothing but pepper than these are for you. They have plenty of flavor to them just not what your expecting for buffalo flavor. Now the wings themselves are not bad. They are decently meaty. Maybe a little to heavy on the breading, but not to bad though. The sizes of the wings vary greatly but not really a big deal. I'd by them again if they change the flavoring, but i'd say just stick to the plain and get your own sauce.
Great Value;;Great Value Boneless Buffalo Style Chunks, 25.5 Oz;2012-10-31T00:00:00.000Z;sí;4;I did not have the same experience as the other reviewer. What we got was just as advertised - chunks of white meat in breading. My kids love these.
Great Value;;Great Value Boneless Buffalo Style Chunks, 25.5 Oz;2012-12-20T00:00:00.000Z;sí;4;They had chicken. They were breaded. They didn't even need a dipping sauce.
Great Value;;Great Value Boneless Buffalo Style Chunks, 25.5 Oz;2016-02-07T00:00:00.000Z;sí;5;The last time I bought buffalo wings, I bought a name brand. I was very disappointed with them as they had almost no heat at all. I bought the Great Value brand last time and I was apprehensive. But I could not believe how much flavor they had and how spicy they were. They were delicious!!
Great Value;;Great Value Boneless Buffalo Style Chunks, 25.5 Oz;2016-04-18T00:00:00.000Z;sí;5;quick, easy, and delicious
Great Value;;Great Value Boneless Buffalo Style Chunks, 25.5 Oz;2014-10-12T00:00:00.000Z;sí;4;I have to be honest for boneless chicken wyngz, these are definitely my favorite. I prefer them over the tyson brand. The only complaint I have is they are very hard to get in my local store. They are regularly out of them. That can be frustrating.
Great Value;;Great Value Boneless Buffalo Style Chunks, 25.5 Oz;2015-10-21T00:00:00.000Z;sí;5;there delicious
Great Value;;Great Value Boneless Buffalo Style Chunks, 25.5 Oz;2016-06-11T00:00:00.000Z;sí;3;These Great Value Buffalo Style Boneless Wyngz are extremely hot. If you like spicy, hot, flavors in your food then these are for you. I thought they cooked up well, but I just did not care for the spicy hotness of them.
